method,fold,cohort,source,case_id,class_id,class_name,label_path,pred_path,is_evaluable,evaluability_reason,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,3,end,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,6358650,6588605,6312168,276437,46482,16599904,27.166647062613453,1.189744381652655,0.2000517237127399,71.44355683202114,0.9750588831377772,0.9513316102712746,0.9580431669526402,0.9926899577740558,0.983619849824082,0.0163801501759178,0.043474165113664,10.0,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,4,left_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,61888,66142,60403,5739,1485,23167364,0.2599656698812579,0.0246998158940539,0.0063912226176459,99.70894329160704,0.9435757244395844,0.8931787599627368,0.913232136917541,0.9760050413650464,0.9997523421874058,0.0002476578125941,0.092732032057911,5.0,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,5,right_kidney,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,60776,65255,60025,5230,751,23168985,0.258338813214948,0.0225091544042345,0.0032321940645468,99.71591983831628,0.9525434218565274,0.9093870254219314,0.919852884836411,0.987643148611294,0.9997743181376372,0.0002256818623629,0.0860537054100302,4.143203796014927,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,6,testis,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,187825,202510,176023,26487,11802,23020679,0.7575772247985807,0.1139961706892849,0.0507940803592306,99.0776325241529,0.9019073360062512,0.8213399156370151,0.8692064589402992,0.9371649141488088,0.9988507480702834,0.0011492519297166,0.1410195660854518,9.478909974590623,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,7,thoracic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,1129037,1123485,1096493,26992,32544,22078962,4.719145361407715,0.116169616764646,0.1400646120327741,95.02462040979486,0.9735691815662622,0.9484995618622024,0.9759747571173624,0.9711754353488858,0.9987789714933814,0.0012210285066186,0.0239070995901817,5.0,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,8,abdominal_and_pelvic_cavity,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,True,evaluable,23234991,3427716,3371913,3307450,64463,120266,19742812,14.234780637530696,0.2774393155564381,0.5176072588106446,84.97017278810222,0.972832488360762,0.9471020815370575,0.9808823655889104,0.9649136626254916,0.996745488715636,0.0032545112843639,0.0188064005302656,6.988689677214785,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136514_122984,9,head,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136514_122984.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136514_122984.nii.gz,False,absent_or_out_of_fov_for_fp,23234991,0,4168,0,4168,0,23230823,0.0,0.0179384618655544,0.0,99.98206153813445,,,,,,,,,False,4168.0,0.0001793846186555,1.0
segformer3d_seed20260522,0,v1_comparison,TB,136518_122095,1,front,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136518_122095.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136518_122095.nii.gz,True,evaluable,20904173,5192259,5218848,5147570,71278,44689,15640636,24.624604857604268,0.3409749814068224,0.213780282051818,74.82063987893709,0.988861222922788,0.977967856975262,0.9863421965920448,0.9913931489164928,0.9954634425824886,0.0045365574175113,0.0137277435505432,5.094474881320571,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136518_122095,2,middle,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136518_122095.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136518_122095.nii.gz,True,evaluable,20904173,5456204,5371269,5246937,124332,209267,15323637,25.099950139142077,0.5947711971193503,1.001077631724537,73.30420103201403,0.9691895791381794,0.94022097518948,0.9768523974502116,0.961646045492434,0.9919515633414334,0.0080484366585665,0.0227872711504188,7.451009886095452,False,,,
segformer3d_seed20260522,0,v1_comparison,TB,136518_122095,3,end,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/nnUNet_raw_data/Task601_Article622_Carcass9Class/labelsTs/136518_122095.nii.gz,/home/share/hzau/home/liuyangfan/swine-CT-article/data/nnunetv1/v1_comparison_predictions/segformer3d__seed20260522/136518_122095.nii.gz,True,evaluable,20904173,5487632,5583890,5409548,174342,78084,15242199,25.87783788433056,0.8340057269904914,0.3735330739943646,72.91462331468459,0.9772004246570616,0.9554173155864016,0.968777680076076,0.9857709117521,0.9886912375480336,0.0113087624519663,0.0317699874918726,7.627185227007389,False,,,
