network,seed,case_id,swap_rate,lp_dice_gap,merged_dice,split_dice,swap_voxels,has_swap
nnunet_2d,20260521,156052000037132,0.000000,0.000328,0.968764,0.968436,0,0
nnunet_2d,20260521,156052000037134,0.000000,-0.000184,0.970880,0.971064,0,0
nnunet_2d,20260521,156052000037142,0.196962,0.194417,0.978586,0.784169,12265,1
nnunet_2d,20260521,156052000037184,0.000000,-0.000193,0.976336,0.976529,0,0
nnunet_2d,20260521,156052000037201,0.000000,0.000107,0.982350,0.982243,0,0
nnunet_2d,20260521,156052000037404,0.037879,0.038604,0.968654,0.930050,1752,1
nnunet_2d,20260521,156052000037636,0.004935,0.004937,0.983565,0.978628,281,1
nnunet_2d,20260521,156052000037670,0.000000,-0.000072,0.975557,0.975629,0,0
nnunet_2d,20260521,156202411000033,0.185424,0.189642,0.978305,0.788663,7116,1
nnunet_2d,20260521,156052000037691,0.000000,0.000044,0.977698,0.977653,0,0
nnunet_2d,20260521,156202411000574,0.000000,0.000100,0.982849,0.982748,0,0
nnunet_2d,20260521,205870_202923,0.000000,-0.000019,0.976800,0.976819,0,0
nnunet_2d,20260521,206178_202851,0.000000,0.000007,0.973653,0.973645,0,0
nnunet_2d,20260521,207541_202151,0.000000,0.000160,0.962794,0.962634,0,0
nnunet_2d,20260521,207633_204331,0.000000,0.000022,0.975840,0.975817,0,0
nnunet_2d,20260521,305810_305052,0.006832,0.007030,0.960158,0.953128,896,1
nnunet_2d,20260521,308495_301122,0.008672,0.008777,0.966257,0.957481,816,1
nnunet_2d,20260521,308577_304377,0.000000,0.000971,0.942996,0.942025,0,0
nnunet_2d,20260521,308240_310625,0.006321,0.006680,0.958142,0.951462,559,1
nnunet_2d,20260521,313120_310061,0.000000,-0.000175,0.965523,0.965699,0,0
nnunet_2d,20260521,403339_402475,0.000000,0.000001,0.953778,0.953776,0,0
nnunet_2d,20260521,404717_401091,0.000000,-0.000648,0.950726,0.951374,0,0
nnunet_2d,20260521,403390_402127,0.000000,0.000034,0.963954,0.963920,0,0
nnunet_2d,20260521,404728_401086,0.000000,0.007401,0.918477,0.911076,0,0
nnunet_2d,20260521,405948_400388,0.000000,0.000617,0.939358,0.938741,0,0
nnunet_2d,20260521,501877_500337,0.013586,0.014652,0.930989,0.916337,1340,1
