network,seed,case_id,source,class_id,class_name,is_evaluable,domain_voxels,GT_voxels,Pred_voxels,TP,FP,FN,TN,TP_percent,FP_percent,FN_percent,TN_percent,Dice,IoU,Precision,Recall,Specificity,FPR,FP_GT_ratio,HD95,missed,absent_FP_voxels,absent_FP_rate,absent_FP_incidence
swinunetr,20260521,156052000037130,HZAU,8,abdominal_and_pelvic_cavity,True,17048701,3050581,3046153,3027950,18203,22631,13979917,17.760590674914177,0.10677059794760903,0.13274325123069494,81.99989547590751,0.9933023156332554,0.98669375231362,0.9940242660168416,0.9925814131799812,0.9986996110906322,0.0013003889093678295,0.005967060045283177,2.0359954833984375,False,nan,nan,nan
swinunetr,20260521,156052000037130,HZAU,9,head,True,17048701,1320536,1296575,1278221,18354,42315,15709811,7.497468575465074,0.10765629592541977,0.24820072802027557,92.14667440058923,0.9768183313585095,0.9546870915459821,0.9858442434876502,0.9679561935456512,0.9988330488648867,0.0011669511351133461,0.013898901658114584,6.108001708984375,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,1,front,True,11826579,2961314,2889075,2845181,43894,116133,8821371,24.057514857001337,0.3711470578262742,0.9819661290048458,74.58937195616755,0.97264677613745,0.9467501084783483,0.9848069018630531,0.9607832874190309,0.9950487661677344,0.004951233832265589,0.014822474077385918,15.0,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,2,middle,True,11826579,2885883,2865036,2791145,73891,94738,8866805,23.600611808368253,0.6247876076420746,0.8010600529536055,74.97354053103606,0.970677903827197,0.943026393231375,0.9742093991140076,0.9671719193051139,0.9917354308881545,0.008264569111845432,0.025604295115221234,11.45862421355168,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,3,end,True,11826579,2846820,2882580,2829977,52603,16843,8927156,23.928956970566045,0.4447862733593544,0.14241650100168443,75.48384025507292,0.9878790100185011,0.976048337893436,0.9817514171332625,0.9940835739526911,0.9941420476874714,0.0058579523125286545,0.018477810328717658,6.251813211353197,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,4,left_kidney,True,11826579,18152,18218,17127,1091,1025,11807336,0.1448178716770082,0.009224983826683946,0.008666918810587575,99.83729022568572,0.9418201814682431,0.8900379358727849,0.9401141727961357,0.9435323931247246,0.9999076083546098,9.239164539019465e-05,0.06010356985456148,4.5105463680407905,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,5,right_kidney,True,11826579,19636,18253,18053,200,1583,11806743,0.15264769296345124,0.0016911061093829415,0.013385104855765984,99.83227609607141,0.9529414869751115,0.9101129259931438,0.9890428970580178,0.9193827663475249,0.9999830608143022,1.6939185697771218e-05,0.010185373803218578,2.7973202380396613,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,6,testis,False,11826579,0,0,0,0,0,11826579,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
swinunetr,20260521,156052000037132,HZAU,7,thoracic_cavity,True,11826579,565946,567434,562123,5311,3823,11255322,4.753048197623336,0.04490732273466401,0.032325493280854926,95.16971898636115,0.9919409200797614,0.9840106992124386,0.9906403211651047,0.9932449385630431,0.9995283568872194,0.0004716431127806048,0.009384287546868429,1.251007080078125,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,8,abdominal_and_pelvic_cavity,True,11826579,1659485,1660425,1646939,13486,12546,10153608,13.925743023405163,0.11403128495569176,0.10608308624159193,85.85414260539756,0.992158823582567,0.984439658547578,0.9918779830465092,0.9924398231981608,0.9986735639505251,0.001326436049474904,0.008126617595217793,2.5019989013671875,False,nan,nan,nan
swinunetr,20260521,156052000037132,HZAU,9,head,True,11826579,854929,909581,850564,59017,4365,10912633,7.191969884105961,0.4990200462872654,0.0369083908372827,92.27210167876949,0.9640795461629574,0.9306501697036805,0.9351162788140913,0.994894312861068,0.9946209549156234,0.0053790450843765525,0.06903146343146624,13.351034583362106,False,nan,nan,nan
swinunetr,20260521,156052000037134,HZAU,1,front,True,15435911,3767674,3763125,3681553,81572,86121,11586665,23.85057156652432,0.528456014031177,0.5579262539153018,75.0630461655292,0.9777323760732427,0.9564348446423013,0.978323334994187,0.9771421306620477,0.9930090552668753,0.0069909447331246355,0.021650493115911832,14.572346069398682,False,nan,nan,nan
swinunetr,20260521,156052000037134,HZAU,2,middle,True,15435911,3893062,3952122,3830644,121478,62418,11421371,24.816442644687445,0.7869830293787001,0.40436874765603403,73.99220557827782,0.9765593770649611,0.9541925102253309,0.9692625885536934,0.9839668620741205,0.9894759084174106,0.01052409158258936,0.03120371573840848,10.06740065453821,False,nan,nan,nan
swinunetr,20260521,156052000037134,HZAU,3,end,True,15435911,3910553,3907433,3873202,34231,37351,11491127,25.09215037583464,0.22176209748812364,0.24197470431126483,74.44411282236597,0.9908439334631707,0.9818540127925889,0.9912395170947269,0.9904486654445036,0.997029940414866,0.002970059585133928,0.008753493431747377,5.0,False,nan,nan,nan
swinunetr,20260521,156052000037134,HZAU,4,left_kidney,True,15435911,28592,29473,28160,1313,432,15406006,0.18243173337809476,0.00850613870473858,0.0027986686370503173,99.80626345928012,0.9699474726599501,0.9416485537535529,0.9554507515353035,0.9848908785674314,0.9999147807610137,8.521923898635447e-05,0.04592193620593173,2.600544183249554,False,nan,nan,nan
swinunetr,20260521,156052000037134,HZAU,5,right_kidney,True,15435911,29600,28982,28256,726,1344,15405585,0.1830536597418837,0.004703318126154005,0.008706969093045433,99.80353605303893,0.9646649141374484,0.931741739761261,0.9749499689462425,0.9545945945945946,0.999952876454331,4.712354566904433e-05,0.024527027027027026,2.600548149662882,False,nan,nan,nan
swinunetr,20260521,156052000037134,HZAU,6,testis,False,15435911,0,0,0,0,0,15435911,0.0,0.0,0.0,100.0,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0
swinunetr,20260521,156052000037134,HZAU,7,thoracic_cavity,True,15435911,566269,569559,562402,7157,3867,14862485,3.643464904662899,0.04636590610039148,0.02505197134137402,96.28511721789533,0.9902943051236631,0.9807752002873954,0.9874341376398231,0.9931710900649692,0.9995186837719429,0.00048131622805713814,0.012638869512546157,1.1630096435546875,False,nan,nan,nan
